scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,calibrator_kind,calibrator_intercept,calibrator_slope,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
null_alpha,5,4,relative_axes_logit,16099,490,7393,264,9017,298,0.01,platt,-1.865470572424254,0.4033440834520829,0.5342425051823104,0.0401581628939122,0.031944590947978,0.1449892941008309,0.0212048672071156,-0.2820412913425698,0.9356596314170008,0.0059068271034508
null_alpha,5,4,combined_axes_logit,16099,490,7393,264,9017,298,0.01,platt,-1.8409983040722189,0.4044242369724337,0.545696700332761,0.0396651082878399,0.0319358091944397,0.1448472716868638,0.028297943073982,-0.2832484141577502,0.9383977373667942,0.0064019498545992
null_alpha,5,4,hist_gradient_boosting,16099,490,7393,264,9017,298,,platt,-2.8865124025485227,0.1176588805778695,0.5324407238377038,0.0373600787864371,0.0319587005201484,0.1452201474258614,0.0201630095697702,-0.2845333369277851,0.9383161486188666,0.004996312292289
migration_alpha,3,1,profitability_logit,4815,119,4878,103,6627,118,10.0,platt,5.933793260308014,2.696636115390619,0.5984282518859154,0.0258693544380523,0.0174934387606105,0.0890523730593814,0.0450911766969743,-1.6051381234350963,0.6176876068921816,0.0043251616735401
migration_alpha,3,1,distress_logit,4815,119,4878,103,6627,118,0.01,platt,2.5332943154760392,1.781590464978735,0.5656210045543199,0.0253181506503519,0.0174825437132249,0.08922988567058,0.0300617785513591,-1.2541403650138243,0.7143685248404349,0.0047140078775108
migration_alpha,3,1,industry_rate,4815,119,4878,103,6627,118,,platt,-3.975820722543026,-0.0363863003177711,0.5487122133369442,0.0207821825434253,0.0174975156030029,0.0895956950556091,0.0223967984565061,-0.2549261646991468,0.9786351875226084,0.0078708234453808
migration_alpha,3,1,occupied_cell_rate,4815,119,4878,103,6627,118,,platt,-3.3324579034705057,0.1335129019360226,0.5276572724597752,0.0198911677257089,0.0174963403495005,0.0895594250515382,0.0126817849821097,-0.2550244974098431,0.979104012158496,0.0053333183123802
migration_alpha,3,1,relative_axes_logit,4815,119,4878,103,6627,118,0.01,platt,-2.626882643316981,0.3251780548475685,0.5712911197273136,0.0235805471911583,0.0174879015800249,0.0893542620004544,0.0326593271269994,-0.2553304728592023,0.9815761840312056,0.0052974686598721
migration_alpha,3,1,combined_axes_logit,4815,119,4878,103,6627,118,0.01,platt,-2.191161461424481,0.4381187939484363,0.57771117435832,0.0238473429762581,0.0174828285638385,0.0892120547571669,0.0356004320664258,-0.2561318654520976,0.9843668882894336,0.0048771342522901
migration_alpha,3,1,hist_gradient_boosting,4815,119,4878,103,6627,118,,platt,-4.008802769464274,-0.0401598192876636,0.4503021891461887,0.0159572253340054,0.01750491873892,0.0897751232907396,-0.0227671702760645,-0.2546685943386961,0.9771559926622984,0.0050800235728519
