gvkey,feature_date,archetype,viability_level,pc1,pc2
100577,2020-03-31,Noise / Unassigned,,-1.3306167867053849,1.1079047026509925
100627,2020-03-31,Noise / Unassigned,,0.7260533592080515,-1.1456053848826762
100657,2020-03-31,Noise / Unassigned,,-0.2607309176855505,-0.7330423813798016
100685,2020-03-31,Noise / Unassigned,,1.9907461666136956,1.2836753987130312
100693,2020-03-31,Noise / Unassigned,,2.719163960700239,-0.8194807386232871
100711,2020-03-31,Noise / Unassigned,,-0.12055677789457406,0.9219327749422181
100766,2020-03-31,Noise / Unassigned,,-0.03651973842894572,1.0431708047867791
100779,2020-03-31,Noise / Unassigned,,1.0553013556255866,1.1823710677207875
100802,2020-03-31,Noise / Unassigned,,-2.0774225753510516,0.877322327589743
100818,2020-03-31,Noise / Unassigned,,1.3291132951082916,-0.9164332753030733
100836,2020-03-31,Noise / Unassigned,,0.6723138118449136,-0.805889856771704
100854,2020-03-31,Noise / Unassigned,,-3.4196672650641378,-0.9219945192519013
100858,2020-03-31,Noise / Unassigned,,-0.9820073729374731,1.007353526390611
100904,2020-03-31,Archetype A,,-0.08730133926148627,-1.2445856040003536
100934,2020-03-31,Noise / Unassigned,,-0.7438379015076277,3.9590349027253087
101047,2020-03-31,Noise / Unassigned,,-1.5748536787632874,4.035748497071374
101061,2020-03-31,Noise / Unassigned,,2.946609089388674,1.360184967054181
101170,2020-03-31,Noise / Unassigned,,2.9515277948864465,-0.9448458592323218
101195,2020-03-31,Noise / Unassigned,,-0.3565188529963567,1.0749595152698215
101222,2020-03-31,Noise / Unassigned,,-0.9496191263156624,-1.1509296652180498
101229,2020-03-31,Noise / Unassigned,,-0.30870585249829163,-1.2066441549434819
101244,2020-03-31,Noise / Unassigned,,1.6668585523266748,4.166182348676662
101257,2020-03-31,Noise / Unassigned,,1.0281776398884495,0.6242860323245355
101316,2020-03-31,Noise / Unassigned,,0.19226271108405266,0.4371822957563345
101334,2020-03-31,Noise / Unassigned,,0.4227532042087984,-1.4002184062399827
101348,2020-03-31,Noise / Unassigned,,-0.12495623081725574,0.9152046922471395
101381,2020-03-31,Noise / Unassigned,,0.021454612724707743,-1.1237303000433436
101447,2020-03-31,Noise / Unassigned,,0.8011477855180472,-1.0856483837279476
101502,2020-03-31,Noise / Unassigned,,0.3824839636593897,1.0147624762884062
101622,2020-03-31,Noise / Unassigned,,1.343618321373413,1.2406600451540835
101667,2020-03-31,Archetype A,,-0.5097908120344701,-1.279279539918827
