cell_id,observations,firms,share
121102,58,52,0.0009846864283046416
102212,57,51,0.0009677090760924926
020110,57,54,0.0009677090760924926
111002,57,51,0.0009677090760924926
012010,56,51,0.0009507317238803436
202111,56,52,0.0009507317238803436
202122,55,51,0.0009337543716681947
122120,54,51,0.0009167770194560456
110012,54,52,0.0009167770194560456
201112,54,49,0.0009167770194560456
102100,54,43,0.0009167770194560456
110201,54,52,0.0009167770194560456
121201,53,52,0.0008997996672438966
220122,52,47,0.0008828223150317477
110210,52,50,0.0008828223150317477
110102,52,50,0.0008828223150317477
002001,51,44,0.0008658449628195986
001211,51,49,0.0008658449628195986
020010,50,47,0.0008488676106074497
221110,50,48,0.0008488676106074497
211011,50,49,0.0008488676106074497
201110,49,46,0.0008318902583953007
210112,49,48,0.0008318902583953007
122100,49,39,0.0008318902583953007
221212,48,46,0.0008149129061831516
012100,48,45,0.0008149129061831516
000111,48,46,0.0008149129061831516
120102,47,40,0.0007979355539710027
101210,47,39,0.0007979355539710027
121012,46,45,0.0007809582017588537
101120,46,43,0.0007809582017588537
111220,46,43,0.0007809582017588537
112021,46,44,0.0007809582017588537
102120,45,45,0.0007639808495467047
212211,45,44,0.0007639808495467047
220121,45,42,0.0007639808495467047
000101,45,43,0.0007639808495467047
022100,44,38,0.0007470034973345557
121002,44,39,0.0007470034973345557
112012,44,42,0.0007470034973345557
200111,44,43,0.0007470034973345557
122021,44,43,0.0007470034973345557
011102,43,41,0.0007300261451224068
212112,43,42,0.0007300261451224068
001112,42,42,0.0007130487929102577
012112,42,37,0.0007130487929102577
202211,42,38,0.0007130487929102577
020211,42,39,0.0007130487929102577
110002,41,41,0.0006960714406981087
021002,40,38,0.0006790940884859598
220212,39,39,0.0006621167362738107
101012,39,38,0.0006621167362738107
120012,39,36,0.0006621167362738107
222211,39,36,0.0006621167362738107
120120,39,37,0.0006621167362738107
200122,38,37,0.0006451393840616618
201212,38,38,0.0006451393840616618
011121,38,37,0.0006451393840616618
210011,38,38,0.0006451393840616618
010211,38,38,0.0006451393840616618
011012,38,36,0.0006451393840616618
121021,38,36,0.0006451393840616618
022101,38,37,0.0006451393840616618
011222,37,37,0.0006281620318495128
022110,37,33,0.0006281620318495128
022112,37,34,0.0006281620318495128
101102,37,36,0.0006281620318495128
101002,36,35,0.0006111846796373637
210212,36,35,0.0006111846796373637
102021,36,32,0.0006111846796373637
110021,36,36,0.0006111846796373637
200121,35,35,0.0005942073274252148
200211,35,31,0.0005942073274252148
101021,35,34,0.0005942073274252148
112201,34,33,0.0005772299752130658
211101,34,33,0.0005772299752130658
020112,34,34,0.0005772299752130658
000011,34,34,0.0005772299752130658
221011,34,33,0.0005772299752130658
120210,33,32,0.0005602526230009168
010002,33,32,0.0005602526230009168
021122,33,31,0.0005602526230009168
111200,33,32,0.0005602526230009168
022010,33,32,0.0005602526230009168
021222,33,32,0.0005602526230009168
122012,33,32,0.0005602526230009168
002110,32,30,0.0005432752707887678
201011,32,30,0.0005432752707887678
011221,31,31,0.0005262979185766187
212110,31,30,0.0005262979185766187
020002,31,28,0.0005262979185766187
222212,31,31,0.0005262979185766187
210110,31,30,0.0005262979185766187
011122,31,30,0.0005262979185766187
002100,30,28,0.0005093205663644698
100201,30,27,0.0005093205663644698
010222,30,30,0.0005093205663644698
220112,30,29,0.0005093205663644698
012121,29,28,0.0004923432141523208
000110,29,28,0.0004923432141523208
211210,29,27,0.0004923432141523208
211120,29,29,0.0004923432141523208
102012,29,26,0.0004923432141523208
002011,29,27,0.0004923432141523208
212120,28,27,0.0004753658619401718
002010,28,26,0.0004753658619401718
000112,28,27,0.0004753658619401718
002112,28,27,0.0004753658619401718
220110,28,26,0.0004753658619401718
001002,27,25,0.0004583885097280228
212212,27,25,0.0004583885097280228
002101,27,26,0.0004583885097280228
100210,27,27,0.0004583885097280228
001222,27,27,0.0004583885097280228
010102,27,25,0.0004583885097280228
011212,26,26,0.00044141115751587383
100102,26,26,0.00044141115751587383
021221,26,26,0.00044141115751587383
021102,26,25,0.00044141115751587383
012221,26,26,0.00044141115751587383
120002,25,24,0.00042443380530372485
022211,25,24,0.00042443380530372485
120021,25,24,0.00042443380530372485
111022,25,25,0.00042443380530372485
112210,25,24,0.00042443380530372485
112102,25,24,0.00042443380530372485
222112,25,25,0.00042443380530372485
001201,24,23,0.0004074564530915758
102210,24,22,0.0004074564530915758
001212,24,24,0.0004074564530915758
012211,24,24,0.0004074564530915758
121200,24,24,0.0004074564530915758
211010,24,23,0.0004074564530915758
212011,24,23,0.0004074564530915758
100012,24,24,0.0004074564530915758
012222,24,23,0.0004074564530915758
211100,23,23,0.00039047910087942683
020102,23,23,0.00039047910087942683
221010,23,22,0.00039047910087942683
112220,23,23,0.00039047910087942683
110220,23,20,0.00039047910087942683
010212,23,23,0.00039047910087942683
200110,23,21,0.00039047910087942683
022222,23,22,0.00039047910087942683
121220,22,19,0.00037350174866727784
122210,22,21,0.00037350174866727784
010122,22,22,0.00037350174866727784
000010,22,22,0.00037350174866727784
202112,22,21,0.00037350174866727784
221120,22,22,0.00037350174866727784
112022,21,21,0.00035652439645512886
222110,21,21,0.00035652439645512886
000102,21,19,0.00035652439645512886
001102,21,20,0.00035652439645512886
221210,21,20,0.00035652439645512886
011201,21,21,0.00035652439645512886
220011,21,21,0.00035652439645512886
021201,21,21,0.00035652439645512886
002211,21,18,0.00035652439645512886
012122,21,21,0.00035652439645512886
022002,20,19,0.0003395470442429799
211220,20,19,0.0003395470442429799
210101,19,19,0.0003225696920308309
210120,19,19,0.0003225696920308309
201101,19,16,0.0003225696920308309
001122,19,18,0.0003225696920308309
011210,19,18,0.0003225696920308309
020201,19,19,0.0003225696920308309
010121,19,19,0.0003225696920308309
002222,19,18,0.0003225696920308309
021121,19,18,0.0003225696920308309
100002,19,19,0.0003225696920308309
120200,19,17,0.0003225696920308309
022121,19,16,0.0003225696920308309
020221,18,18,0.00030559233981868186
200212,18,17,0.00030559233981868186
012012,18,18,0.00030559233981868186
201120,18,17,0.00030559233981868186
000211,18,18,0.00030559233981868186
201010,18,18,0.00030559233981868186
100120,18,18,0.00030559233981868186
221101,18,18,0.00030559233981868186
021012,17,16,0.0002886149876065329
211201,17,17,0.0002886149876065329
010201,17,17,0.0002886149876065329
020222,17,16,0.0002886149876065329
010012,16,16,0.0002716376353943839
202011,16,16,0.0002716376353943839
122201,16,16,0.0002716376353943839
122220,16,16,0.0002716376353943839
000002,16,16,0.0002716376353943839
012002,16,16,0.0002716376353943839
021212,15,15,0.0002546602831822349
010221,15,15,0.0002546602831822349
111202,15,15,0.0002546602831822349
222120,15,15,0.0002546602831822349
001221,15,15,0.0002546602831822349
212220,15,15,0.0002546602831822349
210100,15,15,0.0002546602831822349
100200,15,15,0.0002546602831822349
211021,15,15,0.0002546602831822349
002122,15,15,0.0002546602831822349
121022,15,15,0.0002546602831822349
221220,14,13,0.0002376829309700859
012212,14,14,0.0002376829309700859
202120,14,12,0.0002376829309700859
102002,14,11,0.0002376829309700859
001012,14,14,0.0002376829309700859
221100,14,14,0.0002376829309700859
221021,14,14,0.0002376829309700859
011120,14,14,0.0002376829309700859
210000,14,13,0.0002376829309700859
201000,14,14,0.0002376829309700859
022012,14,13,0.0002376829309700859
001121,14,14,0.0002376829309700859
122102,14,14,0.0002376829309700859
112020,14,14,0.0002376829309700859
110200,14,14,0.0002376829309700859
110202,14,14,0.0002376829309700859
111020,14,14,0.0002376829309700859
101220,14,14,0.0002376829309700859
101200,14,13,0.0002376829309700859
120220,14,14,0.0002376829309700859
212101,14,13,0.0002376829309700859
121202,14,14,0.0002376829309700859
122002,13,13,0.00022070557875793692
220101,13,13,0.00022070557875793692
022122,13,13,0.00022070557875793692
022221,13,13,0.00022070557875793692
020121,13,13,0.00022070557875793692
122022,13,13,0.00022070557875793692
102022,13,13,0.00022070557875793692
020212,13,13,0.00022070557875793692
100021,13,13,0.00022070557875793692
202212,13,13,0.00022070557875793692
200112,13,12,0.00022070557875793692
202110,13,13,0.00022070557875793692
222021,13,13,0.00022070557875793692
221201,13,13,0.00022070557875793692
021120,13,13,0.00022070557875793692
021200,13,13,0.00022070557875793692
210220,13,13,0.00022070557875793692
120022,12,12,0.0002037282265457879
012021,12,12,0.0002037282265457879
210210,12,11,0.0002037282265457879
112002,12,12,0.0002037282265457879
102102,12,12,0.0002037282265457879
002121,12,12,0.0002037282265457879
212021,12,12,0.0002037282265457879
201210,11,11,0.00018675087433363892
201021,11,11,0.00018675087433363892
120202,11,11,0.00018675087433363892
101022,11,11,0.00018675087433363892
221000,11,11,0.00018675087433363892
001120,11,11,0.00018675087433363892
200011,11,11,0.00018675087433363892
012210,11,10,0.00018675087433363892
201100,10,10,0.00016977352212148994
201220,10,9,0.00016977352212148994
000222,10,10,0.00016977352212148994
000212,10,10,0.00016977352212148994
100220,10,10,0.00016977352212148994
110022,10,10,0.00016977352212148994
100022,10,10,0.00016977352212148994
121020,10,10,0.00016977352212148994
011200,10,10,0.00016977352212148994
020012,10,10,0.00016977352212148994
010200,10,10,0.00016977352212148994
010210,10,10,0.00016977352212148994
212010,10,9,0.00016977352212148994
211001,10,10,0.00016977352212148994
010120,10,9,0.00016977352212148994
200010,10,10,0.00016977352212148994
222011,10,10,0.00016977352212148994
000122,10,10,0.00016977352212148994
210010,10,10,0.00016977352212148994
000012,9,9,0.00015279616990934093
001200,9,9,0.00015279616990934093
002102,9,9,0.00015279616990934093
021021,9,9,0.00015279616990934093
122020,9,9,0.00015279616990934093
002221,9,9,0.00015279616990934093
002002,9,9,0.00015279616990934093
210001,9,9,0.00015279616990934093
011021,9,9,0.00015279616990934093
200100,9,9,0.00015279616990934093
210201,9,9,0.00015279616990934093
012120,8,8,0.00013581881769719195
222220,8,7,0.00013581881769719195
220012,8,8,0.00013581881769719195
022102,8,8,0.00013581881769719195
220120,8,8,0.00013581881769719195
000221,8,8,0.00013581881769719195
102220,8,8,0.00013581881769719195
120020,8,8,0.00013581881769719195
022212,8,8,0.00013581881769719195
211012,8,8,0.00013581881769719195
211000,8,8,0.00013581881769719195
020122,8,8,0.00013581881769719195
020200,8,8,0.00013581881769719195
212012,8,8,0.00013581881769719195
211102,8,7,0.00013581881769719195
020210,8,8,0.00013581881769719195
