scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,validation_brier_uncalibrated,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
null_alpha,5,3,financial_baseline_logit,10521,304,6526,226,8249,338,0.01,0.03333992815736625,0.5673203142355151,0.05274011198039695,0.0392390357687236,0.17065444145180642,0.04622846781217716,-1.056036954017266,0.6392164968363404,0.008180502635952975
null_alpha,5,3,financial_plus_hypercube_logit,10521,304,6526,226,8249,338,0.01,0.033507119275700305,0.5624918191208557,0.05158168396911208,0.03927693559641141,0.17079476631746743,0.042912768330912225,1.9414142666995737,1.5349222146258998,0.006511472232239508
null_alpha,5,4,financial_baseline_logit,16099,490,7393,264,9017,298,0.1,0.0343337245874835,0.5352293186753299,0.0371713685496881,0.03202517587954483,0.1458824897765016,0.02181595710544553,-2.144940618733231,0.3767966643297199,0.008679472908174836
null_alpha,5,4,financial_plus_hypercube_logit,16099,490,7393,264,9017,298,0.01,0.03445919330560689,0.5464537448494416,0.039989369518809575,0.0319366726743829,0.1448530270924985,0.02876674721877064,-0.2852142156655236,0.9414775569775394,0.0056915690238245375
migration_alpha,3,1,financial_baseline_logit,4815,119,4878,103,6627,118,0.01,0.020642996490829305,0.5746332978327271,0.02686588173498427,0.017477886316686862,0.08908809852261472,0.034190419473811275,-1.3049811983948698,0.7000894214762793,0.0057950699512114385
migration_alpha,3,1,financial_plus_hypercube_logit,4815,119,4878,103,6627,118,0.01,0.020703778832210275,0.5832250521442279,0.025336338056862452,0.01747457280575008,0.08901998578658597,0.03812640639193629,-0.2557183584604464,0.9851551174127694,0.004862008063341327
migration_alpha,3,2,financial_baseline_logit,8936,205,6025,127,7641,196,0.01,0.020598513972677705,0.6233426076945218,0.039357789620393914,0.02492967861542073,0.1178224160880326,0.0675482247582946,3.08496493746995,1.758574469680669,0.006903566381932102
migration_alpha,3,2,financial_plus_hypercube_logit,8936,205,6025,127,7641,196,0.01,0.020571347992267876,0.5883972259152149,0.03645783335534176,0.024941720366530692,0.11827260253963376,0.048410486819923874,-0.23187099937544653,0.8961486849977139,0.005192892728782522
migration_alpha,3,3,financial_baseline_logit,14306,325,7062,147,8415,154,0.01,0.020407055747426756,0.5610488651887998,0.022603764532327188,0.01796011360702875,0.0911973913486221,0.028345934073836485,-0.2514156357989804,0.9705338481107436,0.003922668603701652
migration_alpha,3,3,financial_plus_hypercube_logit,14306,325,7062,147,8415,154,0.01,0.020438150350643555,0.5625612131483091,0.022697938370837993,0.017958608585955375,0.09113832780368585,0.02904814066562776,-0.2528984240499068,0.9738314125281429,0.004498840358264866
migration_alpha,3,4,financial_baseline_logit,20722,440,7958,181,9163,205,0.01,0.022142158076925544,0.601355921127865,0.031242232874833215,0.021834725678459913,0.10602717763765011,0.05192595869181671,-0.8071918436220245,0.7838249232859311,0.0053268607857969
migration_alpha,3,4,financial_plus_hypercube_logit,20722,440,7958,181,9163,205,0.01,0.022150617054858702,0.5923752579789696,0.02789989084300573,0.0218543212827562,0.10640344209755638,0.04732504797534887,-0.9131231883330039,0.7548722570873017,0.005434590149351133
migration_alpha,5,1,financial_baseline_logit,2378,101,4298,155,6523,213,0.01,0.034684506561356895,0.5327001629427914,0.038900623956988845,0.03167508104845597,0.14485864979309102,0.020132497214356178,-2.286309237020829,0.33279606939497636,0.010195528692525683
